Filename,TN,FP,FN,TP,MSE
0.0,0.0,0.0,0.0,0.0,0.0
Defective_100_ISO100_HisiRAW_2592x1536_12bits_RGGB_Linear_20220407210640_BNR_OFF,3980037,1175,4,96,40006.4198
